Country,Total_Stores,Company_Owned,Licensed,Joint_Venture,Company_Owned_%,Licensed_%,Cluster,High_Density
AD,1,0,1,0,0.0,1.0,0,0
AE,144,0,144,0,0.0,1.0,0,1
AR,108,0,107,1,0.0,0.9907407407407407,0,1
AT,18,17,1,0,0.9444444444444444,0.05555555555555555,1,0
AU,22,0,22,0,0.0,1.0,0,0
AW,3,0,3,0,0.0,1.0,0,0
AZ,4,0,4,0,0.0,1.0,0,0
BE,19,0,19,0,0.0,1.0,0,0
BG,5,0,5,0,0.0,1.0,0,0
BH,21,0,21,0,0.0,1.0,0,0
BN,5,0,5,0,0.0,1.0,0,0
BO,4,0,4,0,0.0,1.0,0,0
BR,102,102,0,0,1.0,0.0,1,1
BS,10,0,10,0,0.0,1.0,0,0
CA,1415,1044,371,0,0.7378091872791519,0.26219081272084804,1,1
CH,61,57,4,0,0.9344262295081968,0.06557377049180328,1,1
CL,96,0,96,0,0.0,1.0,0,1
CN,2734,1339,175,1220,0.48975859546452083,0.06400877834674469,2,1
CO,11,0,11,0,0.0,1.0,0,0
CR,11,0,11,0,0.0,1.0,0,0
CW,3,0,3,0,0.0,1.0,0,0
CY,10,0,10,0,0.0,1.0,0,0
CZ,28,0,0,28,0.0,0.0,2,1
DE,160,142,18,0,0.8875,0.1125,1,1
DK,21,0,21,0,0.0,1.0,0,0
EG,18,0,31,0,0.0,1.7222222222222223,0,0
ES,101,0,101,0,0.0,1.0,0,1
FI,8,0,8,0,0.0,1.0,0,0
FR,132,74,43,0,0.5606060606060606,0.32575757575757575,1,1
GB,900,347,252,0,0.38555555555555554,0.28,2,1
GR,28,0,28,0,0.0,1.0,0,1
GT,7,0,7,0,0.0,1.0,0,0
HU,16,0,0,16,0.0,0.0,2,0
ID,268,0,268,0,0.0,1.0,0,1
IE,73,0,73,0,0.0,1.0,0,1
IN,88,0,0,88,0.0,0.0,2,1
JO,17,0,17,0,0.0,1.0,0,0
JP,1237,101,66,1070,0.08164915117219078,0.05335489086499596,2,1
KH,4,0,4,0,0.0,1.0,0,0
KR,992,0,0,992,0.0,0.0,2,1
KW,106,0,106,0,0.0,1.0,0,1
KZ,8,0,8,0,0.0,1.0,0,0
LB,29,0,29,0,0.0,1.0,0,1
LU,2,0,2,0,0.0,1.0,0,0
MA,9,0,9,0,0.0,1.0,0,0
MC,2,0,2,0,0.0,1.0,0,0
MX,579,0,579,0,0.0,1.0,0,1
MY,233,0,228,6,0.0,0.9785407725321889,0,1
NL,59,10,49,0,0.1694915254237288,0.8305084745762712,0,1
NO,17,0,17,0,0.0,1.0,0,0
NZ,24,0,24,0,0.0,1.0,0,1
OM,12,0,12,0,0.0,1.0,0,0
PA,5,0,5,0,0.0,1.0,0,0
PE,89,0,89,0,0.0,1.0,0,1
PH,298,0,298,0,0.0,1.0,0,1
PL,53,0,0,53,0.0,0.0,2,1
PR,23,0,23,0,0.0,1.0,0,0
PT,11,0,11,0,0.0,1.0,0,0
QA,18,0,18,0,0.0,1.0,0,0
RO,27,0,27,0,0.0,1.0,0,1
RU,109,0,2,107,0.0,0.01834862385321101,2,1
SA,101,0,102,0,0.0,1.00990099009901,0,1
SE,18,0,18,0,0.0,1.0,0,0
SG,130,130,0,0,1.0,0.0,1,1
SK,3,0,3,0,0.0,1.0,0,0
SV,11,0,11,0,0.0,1.0,0,0
TH,289,289,0,0,1.0,0.0,1,1
TR,326,0,326,0,0.0,1.0,0,1
TT,3,0,3,0,0.0,1.0,0,0
TW,394,0,0,394,0.0,0.0,2,1
US,13311,7929,5382,0,0.5956727518593644,0.4043272481406356,2,1
VN,25,0,25,0,0.0,1.0,0,1
ZA,3,0,3,0,0.0,1.0,0,0
